Week,Salesperson,Total Sales,Region,Notes,Anomalies
Week 1,Jamie,12732,East,,
Week 2,Jamie,13468,East,Team lunch this Friday.,
Week 3,Jamie,12893,East,Team lunch this Friday.,
Week 4,Jamie,12496,East,Double-check sales numbers.,
Week 1,Casey,13337,East,,
,,,,,
Week 2,Casey,12930,East, ERROR: Data entry problem.,
Week 3,Casey,10756,East,Team lunch this Friday.,
Week 4,Casey,14071,East,Great start!,
Week 1,Jordan,12446,East,,
Week 2,Jordan,11071,East,Missed weekly target.,
Week 3,Jordan,13299,East,,
Week 4,Jordan,,East,SICK - NO SALES,
Week 1,Morgan,12435,East,,
Week 2,Morgan,12418,East,Double-check sales numbers.,
Week 3,Morgan,11987,East,,
Week 4,Morgan,14182,East,Team lunch this Friday.,
Week 1,Alex,10275,East,Team lunch this Friday.,
Week 2,Alex,10770,East,Missed weekly target.,
Week 3,Alex,13912,East,,
Week 4,Alex,14845,East,Check client invoices.,
Week 1,Jamie,11134,West,,
Week 2,Jamie,10928,West,,
Week 3,Jamie,10591,West,,
Week 4,Jamie,11910,West,,
Week 1,Casey,14387,West,,
Week 2,Casey,11162,West,,
Week 3,Casey,11241,West,Check client invoices.,
Week 4,Casey,13465,West,Double-check sales numbers.,
Week 1,Jordan,13466,West,Missed weekly target.,
Week 2,Jordan,14863,West,Great start!,
Week 3,Jordan,10136,West,,
Week 4,Jordan,14272,West,,
Week 1,Morgan,10146,West,,
Week 2,Morgan,12813,West,,
Week 3,Morgan,10967,West,,
Week 4,Morgan,13929,West,,
Week 1,Alex,,West,SICK - NO SALES,
Week 2,Alex,14955,West,Team lunch this Friday. ERROR: Data entry problem.,
Week 3,Alex,11908,West,,
Week 4,Alex,11308,West,Missed weekly target.,
Week 1,Jamie,10256,North,Missed weekly target.,
,,,,,
Week 2,Jamie,10586,North,Check client invoices.,
Week 3,Jamie,10437,North,Check client invoices.,
Week 4,Jamie,13125,North,,
Week 1,Casey,,North,SICK - NO SALES,
Week 2,Casey,10504,North,Great start!,
Week 3,Casey,14496,North,Missed weekly target.,
Week 4,Casey,10153,North,,
Week 1,Jordan,12679,North,Double-check sales numbers.,
Week 2,Jordan,11400,North,,
Week 3,Jordan,10804,North,,
Week 4,Jordan,10063,North,Team lunch this Friday.,
,,,,,
Week 1,Morgan,13441,North,Great start!,
Week 2,Morgan,14903,North,,
Week 3,Morgan,14122,North,Great start!,
Week 4,Morgan,10606,North,,
Week 1,Alex,12375,North,Missed weekly target.,
Week 2,Alex,13221,North,Missed weekly target.,
Week 3,Alex,13146,North,,
,,,,,
Week 4,Alex,14524,North,Great start!,
Week 1,Jamie,10404,South,Team lunch this Friday.,
Week 2,Jamie,11438,South,,
Week 3,Jamie,10460,South,,
Week 4,Jamie,14736,South,Great start!,
